HUM;Distance moyenne;GPT;Distance moyenne;Deepseek;Distance moyenne
经济型;0;外观;0;住个;0
该;0,5;健身房;0;位于;0
这家;0,9;这;0,4;宣称;0
五星级;0,9;公共;0,4;这家;0,2
四星级;0,9;这家;0,5;内部;0,2
航空;1;整体;0,6;自称;0,6
最烂;1,1;者;1;宣传;0,9
这个;1,2;大堂;1,5;亲子;1
星级;1,2;网络;1,6;wifi;1
此;1,4;区域;1,8;硬件;1
三星级;1,5;到;1,8;号称;1,2
管理;1,7;座椅;2;没住;1,5
住进;1,8;教练;2;市政工程;1,5
位置;1,8;打印;2;友好;2
连锁;1,9;但;2,3;菜市场;2
烂;2;附近;2,3;按摩师;2
居住;2;维护;2,5;托管;2
合作;2,1;当天;2,5;夜间;2
最差;2,1;爱好者;2,5;提供;2,2
经济;2,2;凌晨;2,7;建筑;2,3
外观;2,3;健身;3;这;2,4
这种;2,3;周边;3;书吧;2,5
老;2,4;本来;3;外墙;2,5
一家;2,5;发现;3,1;五星;2,5
五星;2,7;噪音;3,2;这下;2,5
选;2,7;位置;3,2;。;2,6
内部;2,8;大厅;3,3;餐盘;2,7
同;2,8;较长;3,5;安全感;2,8
做法;2,8;sb;3,7;不是;2,9
坑;2,9;施工;3,8;SPA;3
到达;2,9;频繁;3,8;星空;3
写字楼;3;没有;3,9;对;3,2
慎重;3;自驾;4;海滩;3,3
四星;3;到位;4;而;3,3
对;3;;;卸货;3,3
停车费;3,1;;;选择;3,5
失望;3,1;;;威胁;3,5
坚决;3,1;;;以;3,5
这样;3,2;;;总有;3,5
环境;3,2;;;住;3,5
最好;3,2;;;的;3,7
认为;3,2;;;浴袍;3,8
地理位置;3,2;;;预定;3,8
选择;3,2;;;软件;4
垃圾;3,3;;;会;4
再也不会;3,3;;;规矩;4
推荐;3,3;;;;
这是;3,3;;;;
的;3,4;;;;
太老;3,4;;;;
真的;3,4;;;;
考虑;3,4;;;;
这么;3,5;;;;
过;3,6;;;;
住;3,6;;;;
奇葩;3,6;;;;
!;3,6;;;;
应该;3,7;;;;
?;3,7;;;;
不要;3,7;;;;
。;3,8;;;;
服务;3,8;;;;
比较;3,8;;;;
一条街;3,8;;;;
服务态度;3,8;;;;
不如;3,8;;;;
很差;3,8;;;;
一般;3,8;;;;
不错;3,8;;;;
这;3,9;;;;
千万;3,9;;;;
性价比;3,9;;;;
北京;3,9;;;;
开业;4;;;;
满意;4;;;;
！;4;;;;
差;4;;;;
