Unit	F	f_deepseek_neg	score_deepseek_neg	f_deepseek_pos	score_deepseek_pos	f_gpt_neg	score_gpt_neg	f_gpt_pos	score_gpt_pos	f_hum_neg	score_hum_neg	f_hum_pos	score_hum_pos
，	44609	6267	11.5187	5951	9.3762	5962	8.8996	6332	23.4024	10036	-30.2344	10061	-29.3549
的	20340	2501	-2.9036	2773	7.2275	1086	-264.9093	1613	-106.5331	5933	48.7362	6434	112.9265
。	19814	2544	-0.5832	2791	12.3229	3036	33.0444	3488	91.8718	3757	-86.1018	4198	-32.9062
了	10157	2067	96.2076	1896	73.3236	740	-65.1265	649	-96.6569	2776	9.2224	2029	-30.1891
我	5910	1217	59.4416	1010	25.1049	486	-25.2345	483	-27.8551	1668	9.4742	1046	-38.6461
房间	5878	450	-38.6985	513	-19.0225	1039	30.3809	1021	24.9972	1432	-0.5761	1423	-0.7622
是	5614	891	9.7013	715	0.6234	309	-68.6301	187	-133.215	1790	33.5428	1722	23.5374
很	5536	65	-237.6716	464	-21.4848	773	3.3479	1502	184.1572	805	-77.3337	1927	62.8401
酒店	5529	322	-68.8368	532	-10.4912	104	-186.2475	551	-9.6295	1893	56.4766	2127	113.0942
,	4125	0	-250.4246	0	-238.5518	0	-239.5791	0	-243.5344	1867	181.276	2258	1000.0
在	3814	695	19.5904	578	6.5053	291	-21.6134	291	-23.0617	899	-1.2971	1060	5.0805
也	3805	327	-17.1121	290	-21.2693	356	-9.0844	620	10.4221	956	0.5418	1256	30.0274
不	3453	348	-7.1336	226	-29.5202	863	89.2876	448	0.5302	1015	9.6847	553	-35.3089
都	3435	469	0.8886	500	3.9854	394	-1.4077	429	-0.404	850	0.3063	793	-1.9186
还	3224	223	-28.3245	273	-12.3454	509	7.7574	764	65.7065	582	-19.3032	873	2.9158
有	3152	251	-18.7378	493	7.2498	536	13.0799	307	-6.7419	701	-3.2448	864	3.5094
没有	3008	255	-14.4405	154	-41.4005	477	7.5572	728	66.5312	925	13.4516	469	-34.0099
就	2973	423	1.6065	357	-0.5859	431	3.2686	407	1.3122	761	0.8587	594	-9.4301
！	2443	16	-120.3362	15	-115.0145	349	2.3999	22	-108.9043	1400	257.4175	641	1.3363
好	2223	82	-51.0041	232	-2.6799	132	-24.0818	423	17.0159	346	-25.4274	1008	98.4156
住	2192	107	-36.5572	170	-11.9391	145	-18.8545	394	12.2065	723	17.7103	653	7.3643
入住	2059	121	-25.7474	156	-12.1361	364	11.2486	421	22.635	482	-1.0622	515	0.4006
前台	2026	303	2.2778	231	-1.0618	296	2.6416	375	13.4248	550	2.1922	271	-36.2701
